City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,revelstoke,50.9832,-118.2023,5.01,87,100,2.06,CA,1699551255
330,kuta,-8.7233,115.1723,26.97,88,40,2.68,ID,1699551414
331,tejen,37.3834,60.5054,16.12,28,94,8.7,TM,1699551654
332,luena,-11.7833,19.9167,20.34,73,57,1.53,AO,1699551655
333,port augusta,-32.5,137.7667,24.84,29,13,3.27,AU,1699551655
334,san andres,12.5847,-81.7006,31.01,79,20,5.14,CO,1699551041
335,zwedru,6.0667,-8.1281,24.53,95,68,1.32,LR,1699551656
336,isangel,-19.55,169.2667,22.15,75,97,6.5,VU,1699551428
337,karymskoye,51.6167,114.35,-14.42,97,76,1.51,RU,1699551657
338,viedma,-40.8135,-62.9967,26.37,15,0,2.41,AR,1699551657
339,nova xavantina,-14.6667,-52.35,38.28,23,44,1.38,BR,1699551563
340,mabaruma,8.2,-59.7833,28.55,83,97,2.4,GY,1699551658
341,vadso,70.0744,29.7487,-2.91,93,75,7.72,NO,1699551455
342,hasaki,35.7333,140.8333,13.22,73,14,3.94,JP,1699551238
343,krasnyy kut,50.95,46.9667,10.38,86,100,9.06,RU,1699551659
344,kembe,4.6228,21.8865,22.0,97,97,1.48,CF,1699551660
345,ishigaki,24.3448,124.1572,25.07,94,40,0.51,JP,1699551462
346,afif,23.9065,42.9172,22.54,27,1,5.1,SA,1699551534
347,chuhar jamali,24.3895,67.9923,26.29,67,4,3.64,PK,1699551662
348,goz beida,13.95,20.55,30.86,15,93,3.84,TD,1699551662
349,rawson,-43.3002,-65.1023,19.7,25,6,1.44,AR,1699551421
350,robinson,31.4677,-97.1147,18.79,97,100,5.66,US,1699551663
351,luba,3.4568,8.5547,26.61,87,77,3.28,GQ,1699551336
352,bocaiuva,-17.1078,-43.815,32.84,23,0,0.89,BR,1699551664
353,saint-pierre,-21.3393,55.4781,24.82,69,0,2.57,RE,1699551321
354,salinopolis,-0.6136,-47.3561,29.44,68,89,5.88,BR,1699551587
355,marka,1.7159,44.7717,27.86,79,74,5.9,SO,1699551666
356,denison,33.7557,-96.5367,12.87,91,75,5.14,US,1699551666
357,kashary,49.04,41.0056,8.31,74,100,8.54,RU,1699551667
358,lata,40.1629,-8.3327,13.84,89,99,1.79,PT,1699551271
359,rouissat,31.9243,5.3502,23.04,49,87,4.63,DZ,1699551668
360,bac lieu,9.285,105.7244,26.67,85,43,3.32,VN,1699551299
361,ancud,-41.8697,-73.8203,13.46,56,44,2.69,CL,1699551180
